,Day,Plot,Treatment,Daily_mean,Weekly_average,Average_per_plot,,,,Week,Site,Treatment,Weekly_average
157,02/07/2016,5,"Light water, no cover",13.70833333,,,,,,,,,
158,02/07/2016,6,"No water, cover",14.72916667,,,,,,,,,
159,02/07/2016,8,"No water, cover",14.0625,,,,,,,,,
160,02/07/2016,9,"Saturated, no cover",14.04166667,,,,,,,,,
161,03/07/2016,10,"Light water, no cover",11.60416667,,,,,,,,,
162,03/07/2016,11,"Saturated, cover",12.02083333,,,,,,,,,
163,03/07/2016,12,"No water, no cover",11.10416667,,,,,,,,,
164,03/07/2016,13,"No water, no cover",12.02083333,,,,,,,,,
165,03/07/2016,14,Ambient,11.16666667,,,,,,,,,
166,03/07/2016,15,"Saturated, cover",12.375,,,,,,,,,
167,03/07/2016,16,Ambient,11.8125,,,,,,,,,
168,03/07/2016,17,"Nothing, disturbed, cover",12.04166667,,,,,,,,,
169,03/07/2016,18,"Nothing, disturbed, no cover",11.35416667,,,,,,,,,
170,03/07/2016,2,"Saturated, no cover",11.66666667,,,,,,,,,
171,03/07/2016,3,"Nothing, disturbed, no cover",11.60416667,,,,,,,,,
172,03/07/2016,4,"Nothing, disturbed, cover",12.16666667,,,,,,,,,
173,03/07/2016,5,"Light water, no cover",12.08333333,,,,,,,,,
174,03/07/2016,6,"No water, cover",13.04166667,,,,,,,,,
175,03/07/2016,8,"No water, cover",12.5625,,,,,,,,,
176,03/07/2016,9,"Saturated, no cover",12.375,,,,,,,,,
177,04/07/2016,10,"Light water, no cover",13.125,,,,,,,,,
178,04/07/2016,11,"Saturated, cover",12.77083333,,,,,,,,,
179,04/07/2016,12,"No water, no cover",10.59375,,,,,,,,,
180,04/07/2016,13,"No water, no cover",14.83333333,,,,,,,,,
181,04/07/2016,14,Ambient,12.45833333,,,,,,,,,
182,04/07/2016,15,"Saturated, cover",13.8125,,,,,,,,,
183,04/07/2016,16,Ambient,14.3125,,,,,,,,,
184,04/07/2016,17,"Nothing, disturbed, cover",14.27083333,,,,,,,,,
185,04/07/2016,18,"Nothing, disturbed, no cover",13.77083333,,,,,,,,,
186,04/07/2016,2,"Saturated, no cover",13.625,,,,,,,,,
187,04/07/2016,3,"Nothing, disturbed, no cover",13.97916667,,,,,,,,,
188,04/07/2016,4,"Nothing, disturbed, cover",14.375,,,,,,,,,
189,04/07/2016,5,"Light water, no cover",14.125,,,,,,,,,
190,04/07/2016,6,"No water, cover",15.89583333,,,,,,,,,
191,04/07/2016,8,"No water, cover",14.35416667,,,,,,,,,
192,04/07/2016,9,"Saturated, no cover",14.1875,,,,,,,,,
193,05/07/2016,10,"Light water, no cover",14.64583333,,,,,,,,,
194,05/07/2016,11,"Saturated, cover",14.89583333,,,,,,,,,
195,05/07/2016,12,"No water, no cover",16.375,,,,,,,,,
196,05/07/2016,13,"No water, no cover",13.52083333,,,,,,,,,
197,05/07/2016,14,Ambient,15.85416667,,,,,,,,,
198,05/07/2016,15,"Saturated, cover",16.16666667,,,,,,,,,
199,05/07/2016,16,Ambient,15.54166667,,,,,,,,,
200,05/07/2016,17,"Nothing, disturbed, cover",15.4375,,,,,,,,,
201,05/07/2016,18,"Nothing, disturbed, no cover",14.95833333,,,,,,,,,
202,05/07/2016,2,"Saturated, no cover",15.27083333,,,,,,,,,
203,05/07/2016,3,"Nothing, disturbed, no cover",15.85416667,,,,,,,,,
204,05/07/2016,4,"Nothing, disturbed, cover",15.4375,,,,,,,,,
205,05/07/2016,5,"Light water, no cover",17.54166667,,,,,,,,,
206,05/07/2016,6,"No water, cover",16.20833333,,,,,,,,,
207,05/07/2016,8,"No water, cover",15.95833333,,,,,,,,,
208,06/07/2016,9,"Saturated, no cover",14.625,,,,,,,,,
209,06/07/2016,10,"Light water, no cover",14.875,,,,,,,,,
210,06/07/2016,11,"Saturated, cover",15.60416667,,,,,,,,,
211,06/07/2016,12,"No water, no cover",13.5,,,,,,,,,
212,06/07/2016,13,"No water, no cover",15.625,,,,,,,,,
213,06/07/2016,14,Ambient,15.79166667,,,,,,,,,
214,06/07/2016,15,"Saturated, cover",14.89583333,,,,,,,,,
215,06/07/2016,16,Ambient,15.3125,,,,,,,,,
216,06/07/2016,17,"Nothing, disturbed, cover",14.5,,,,,,,,,
217,06/07/2016,18,"Nothing, disturbed, no cover",14.875,,,,,,,,,
