"","Day","Plot","Daily_mean","Treatment"
"315",2016-08-11,"15",15.25,"5"
"316",2016-08-12,"15",14.1041666666667,"5"
"317",2016-08-13,"15",13.8125,"5"
"318",2016-08-14,"15",14.1666666666667,"5"
"319",2016-06-23,"16",17.5,"6"
"320",2016-06-24,"16",16.8541666666667,"6"
"321",2016-06-25,"16",15.8541666666667,"6"
"322",2016-06-26,"16",15.8333333333333,"6"
"323",2016-06-27,"16",16.2083333333333,"6"
"324",2016-06-28,"16",16.1458333333333,"6"
"325",2016-06-29,"16",16.3333333333333,"6"
"326",2016-06-30,"16",15.4791666666667,"6"
"327",2016-07-01,"16",14.25,"6"
"328",2016-07-02,"16",13.7708333333333,"6"
"329",2016-07-03,"16",11.8125,"6"
"330",2016-07-04,"16",14.3125,"6"
"331",2016-07-05,"16",16.1666666666667,"6"
"332",2016-07-06,"16",15.7916666666667,"6"
"333",2016-07-07,"16",16.0208333333333,"6"
"334",2016-07-08,"16",17.2291666666667,"6"
"335",2016-07-09,"16",17.9375,"6"
"336",2016-07-10,"16",15.4375,"6"
"337",2016-07-11,"16",16.3333333333333,"6"
"338",2016-07-12,"16",17.6458333333333,"6"
"339",2016-07-13,"16",18.375,"6"
"340",2016-07-14,"16",18.8958333333333,"6"
"341",2016-07-15,"16",18.1458333333333,"6"
"342",2016-07-16,"16",18.2083333333333,"6"
"343",2016-07-17,"16",19.5208333333333,"6"
"344",2016-07-18,"16",19.1458333333333,"6"
"345",2016-07-19,"16",16.1041666666667,"6"
"346",2016-07-20,"16",15.0208333333333,"6"
"347",2016-07-21,"16",13.4375,"6"
"348",2016-07-22,"16",14.1041666666667,"6"
"349",2016-07-23,"16",12.1666666666667,"6"
"350",2016-07-24,"16",13.6041666666667,"6"
"351",2016-07-25,"16",14.2916666666667,"6"
"352",2016-07-26,"16",14.2291666666667,"6"
"353",2016-07-27,"16",13.8125,"6"
"354",2016-07-28,"16",15.7291666666667,"6"
"355",2016-07-29,"16",15,"6"
"356",2016-07-30,"16",13.4375,"6"
"357",2016-07-31,"16",13.7291666666667,"6"
"358",2016-08-01,"16",15.4791666666667,"6"
"359",2016-08-02,"16",14.2291666666667,"6"
"360",2016-08-03,"16",13.0208333333333,"6"
"361",2016-08-04,"16",13.75,"6"
"362",2016-08-05,"16",13.625,"6"
"363",2016-08-06,"16",15.6875,"6"
"364",2016-08-07,"16",15.0625,"6"
"365",2016-08-08,"16",15.7083333333333,"6"
"366",2016-08-09,"16",15.2291666666667,"6"
"367",2016-08-10,"16",14.3541666666667,"6"
"368",2016-08-11,"16",13.8125,"6"
"369",2016-08-12,"16",12.5,"6"
"370",2016-08-13,"16",12.4166666666667,"6"
"371",2016-08-14,"16",13.0833333333333,"6"
"372",2016-06-23,"17",16,"7"
"373",2016-06-24,"17",15.9375,"7"
"374",2016-06-25,"17",14.6666666666667,"7"
"375",2016-06-26,"17",14.9583333333333,"7"
"376",2016-06-27,"17",15.125,"7"
"377",2016-06-28,"17",14.8333333333333,"7"
"378",2016-06-29,"17",15.4791666666667,"7"
"379",2016-06-30,"17",14.4166666666667,"7"
"380",2016-07-01,"17",14.125,"7"
"381",2016-07-02,"17",13.2708333333333,"7"
"382",2016-07-03,"17",12.0416666666667,"7"
"383",2016-07-04,"17",14.2708333333333,"7"
